depth (mm),Si,K,Ca,Ti,Fe,Co,Ni,Sr,P
1098.5,1327,10038,272765,6898,53555,400,277,524,157
1099,1408,10206,262483,7051,50244,546,355,392,87
1099.5,1411,10171,266753,7077,48998,408,362,343,72
1100,1475,9852,265452,6764,44914,411,348,293,76
1100.5,1212,8567,249187,5559,39854,453,405,294,85
1101,990,7144,234298,5543,36611,463,250,418,0
1101.5,935,6832,226456,5239,35890,449,325,282,35
1102,1047,7418,228830,5236,33049,376,338,448,9
1102.5,1000,7024,239704,4942,33073,394,339,354,218
1103,881,6420,225164,5142,32804,318,258,313,124
1103.5,977,6233,226948,4844,31848,341,323,326,109
1104,988,6347,229501,4698,37243,427,321,333,45
1104.5,928,6375,224104,5244,34776,418,394,403,96
1105,876,6372,194265,5155,34233,401,335,574,135
1105.5,1059,6909,217125,5520,34690,401,365,403,132
1106,990,6356,228460,5414,34292,380,283,477,79
1106.5,887,6395,210895,4791,33596,427,355,385,96
1107,798,6208,217327,4894,31972,278,313,362,25
1107.5,776,5658,222849,4939,29219,297,385,323,33
1108,702,5075,225888,4407,28743,347,368,302,66
1108.5,861,5121,228992,4481,30909,307,337,636,87
1109,820,4978,243451,4238,29002,383,355,419,33
1109.5,937,5975,244955,5049,27746,332,419,236,61
1110,954,7348,222207,6085,28960,369,373,435,0
1110.5,1075,8066,214604,6462,31303,274,334,433,115
1111,970,7099,210173,5456,31697,242,313,332,0
1111.5,934,5472,224388,4407,26615,290,325,477,0
1112,757,4439,221518,4046,25266,351,286,431,0
1112.5,704,4202,205888,3473,26022,360,303,147,0
1113,719,4516,209124,4094,22710,250,341,336,0
1113.5,681,4248,221969,3284,22112,295,304,315,0
1114,702,4182,232781,3301,21463,223,354,427,0
1114.5,664,3522,232243,3680,20360,181,300,213,0
1115,766,3962,230393,3708,20590,317,362,357,0
1115.5,585,3717,217603,3310,21584,219,334,332,0
1116,633,4206,226981,3654,23180,211,402,206,0
1116.5,666,4077,227789,3429,22703,372,303,276,0
1117,752,4423,236062,3306,23025,312,401,336,0
1117.5,748,4187,235322,3483,23448,314,302,269,0
1118,668,3717,231232,3028,23039,323,330,369,0
1118.5,571,3721,225894,3307,22435,256,319,385,0
1119,634,3882,230896,3368,22040,226,294,509,0
1119.5,701,3787,227372,3260,19881,261,305,440,33
1120,761,3737,247062,3696,16979,240,333,326,0
1120.5,751,4157,256096,3607,16725,183,344,258,0
1121,585,3516,223261,3015,17146,268,352,241,11
1121.5,535,3634,225358,3374,16148,312,344,346,0
1122,550,3841,221085,3356,15621,203,358,439,0
1122.5,586,3601,223785,3276,16062,295,289,314,0
1123,573,3676,228038,3671,16157,229,371,311,13
1123.5,756,4256,230227,3516,16239,183,335,328,0
1124,693,3979,229668,3259,16154,263,327,506,0
1124.5,632,4076,246847,3233,16235,243,355,588,0
1125,670,4274,255307,3206,16520,180,376,531,0
1125.5,735,4379,273152,3472,16909,244,341,292,0
1126,781,4240,275628,3386,17874,177,330,337,0
1126.5,737,4578,269401,3844,18804,249,285,358,0
1127,736,4600,274580,3707,18638,232,309,302,0
1127.5,744,4591,277042,3888,20099,276,329,368,0
1128,632,4319,283809,4111,22220,226,324,431,0
1128.5,632,4102,272984,4442,24150,327,289,413,0
1129,621,4075,259430,3537,25550,359,312,514,0
1129.5,740,4219,255387,3484,25891,335,290,564,0
1130,700,3938,250143,3435,24994,272,317,262,0
1130.5,730,4196,265223,3381,23850,340,333,244,0
1131,713,3949,261842,3740,22668,364,323,311,0
1131.5,659,4062,257544,3522,21086,255,371,436,0
1132,699,4230,246103,3030,21100,306,300,291,0
1132.5,680,4086,256772,3555,21396,308,271,363,0
1133,782,4557,277367,4402,21800,220,280,447,0
1133.5,938,4933,293966,3890,21564,332,286,342,0
1134,1015,5159,309356,4106,21079,283,280,379,0
1134.5,947,4452,288086,3371,20903,274,364,404,0
1135,1008,4654,294244,3921,19662,193,399,284,0
1135.5,925,4453,284975,4080,19925,242,400,374,0
1136,803,3989,276199,3231,19880,194,364,278,0
1136.5,675,3662,256423,3148,19182,188,367,514,0
1137,649,3729,251330,3189,20495,212,304,376,0
1137.5,669,3408,249322,3341,20899,333,332,304,0
1138,642,3406,256357,4056,21752,244,380,254,0
1138.5,742,3969,266633,3527,22261,283,336,422,0
1139,862,4042,270310,3921,23367,300,301,299,0
1139.5,761,4148,273001,3622,23377,327,323,361,0
1140,743,4094,281883,3476,22371,192,348,377,0
1140.5,772,4328,279342,3112,22590,258,390,373,0
1141,994,4982,304663,3628,21646,157,364,375,0
1141.5,935,4398,298730,3189,20534,263,285,383,0
1142,795,4443,295107,3265,22883,327,371,339,0
1142.5,821,4305,298893,3675,22427,306,407,331,0
1143,816,4012,293171,3802,22632,178,387,165,0
1143.5,675,3945,280178,3624,21456,351,338,568,0
1144,735,4175,280952,3137,21322,235,292,545,0
1144.5,709,4745,294376,3334,21300,288,304,442,0
1145,710,4475,293995,3641,22948,214,302,467,0
1145.5,786,4466,309016,3406,22735,217,281,511,0
1146,732,4269,306203,3512,23116,293,370,396,0
1146.5,774,3943,285229,3779,24648,233,306,454,0
1147,698,3885,269551,3440,23949,283,293,304,0
1147.5,821,4374,300049,3266,23545,335,345,484,0
1148,832,4035,294973,3269,23109,328,295,567,0
1148.5,733,4060,282675,3721,22417,219,282,405,0
1149,709,3842,264020,3694,21736,226,381,386,0
1149.5,857,5038,255684,3888,24608,331,219,398,0
1150,817,5046,271930,3845,25386,351,351,463,0
1150.5,832,4315,288393,3569,22257,340,393,438,0
1151,772,3751,286685,3252,20742,242,305,419,0
1151.5,826,3889,295051,3973,20716,307,395,498,0
1152,906,4661,283173,3272,20327,280,336,374,0
1152.5,815,4224,285455,3669,19322,254,418,347,0
1153,757,3758,249711,3197,18696,200,324,352,0
1153.5,807,3626,268079,3484,18905,144,286,439,0
1154,660,3489,270821,3173,18391,254,340,384,0
1154.5,672,3337,270995,3058,18229,196,261,383,0
1155,666,3658,265472,3261,18434,236,283,364,0
1155.5,678,3769,250810,3515,17436,235,299,421,0
1156,744,3654,262769,3479,17755,287,301,576,0
1156.5,786,4153,289981,3130,19327,203,347,474,0
1157,865,4005,292029,2989,19499,302,321,420,0
1157.5,706,3544,291209,2949,18360,355,330,407,0
1158,702,3763,285602,3358,18305,208,250,434,0
1158.5,724,4102,295676,3196,18689,252,249,333,0
1159,800,4416,303193,3535,17949,251,360,509,0
1159.5,752,3948,295771,3697,17411,220,366,342,0
1160,805,3863,302044,3079,17746,286,265,359,0
1160.5,871,3951,305427,2991,17353,285,314,292,0
1161,809,3868,296189,3328,17207,196,319,320,0
1161.5,802,3979,294496,3310,18682,211,229,393,0
1162,756,3644,297064,3773,19382,238,308,375,0
1162.5,765,3699,296795,2990,19121,278,222,361,0
1163,675,3676,295411,3051,20285,289,271,347,0
1163.5,944,4036,312451,3416,20960,307,335,224,0
1164,832,3625,304116,3681,19585,197,293,198,0
1164.5,744,3890,294071,2968,18180,181,378,319,0
1165,590,3544,276431,3184,17935,179,336,420,0
1165.5,637,3828,297592,3112,19231,226,406,427,0
1166,782,3871,315039,2815,19933,236,318,322,0
1166.5,841,3571,318646,3007,18423,262,343,355,0
1167,800,3368,297490,3010,18035,353,343,328,0
1167.5,815,3388,288816,3031,17193,197,357,277,0
1168,742,3139,287082,2528,17171,277,284,482,0
1168.5,579,3423,292139,3210,17877,292,265,257,0
1169,683,3514,302031,3285,17880,189,287,471,0
1169.5,762,3547,313813,3802,17749,238,255,302,0
1170,633,3254,288474,2865,18728,119,303,305,7
1170.5,722,3373,306305,3295,17847,187,308,273,0
1171,697,3636,309149,3165,17393,301,319,481,0
1171.5,702,3791,294792,2923,17473,166,341,288,0
1172,751,3268,311890,2884,17194,286,274,271,0
1172.5,723,3569,315327,2817,17519,210,290,149,0
1173,669,3294,309190,2845,16856,248,291,330,0
1173.5,794,3987,315301,2987,16920,275,308,265,0
1174,656,3367,297245,3113,16435,248,370,498,0
1174.5,680,3093,281086,2738,17292,248,282,339,0
1175,685,3108,289798,2699,18583,309,352,566,0
1175.5,663,3373,291447,2814,18027,294,287,460,0
1176,742,3560,299264,3036,17220,263,291,379,0
1176.5,822,3527,286866,2648,15546,180,375,411,0
1177,728,3319,289021,2470,15002,193,328,228,0
1177.5,587,3082,281611,2634,15356,211,248,406,0
1178,635,3640,296469,3202,17517,218,348,168,0
1178.5,822,3470,313180,3087,17158,262,400,374,25
1179,765,3723,318386,3047,16422,157,287,458,0
1179.5,680,3253,282198,2751,15155,233,309,477,0
1180,514,2872,270707,2906,16024,295,327,418,0
1180.5,693,3671,295127,2706,15683,274,298,335,0
1181,749,3653,302680,2848,15114,170,311,570,0
1181.5,677,3409,287981,2940,14960,258,310,371,0
1182,756,3398,310433,3477,14870,177,295,217,0
1182.5,759,3381,302013,2857,14471,189,229,202,0
1183,643,3087,285653,2868,15255,264,381,401,0
1183.5,700,3343,292908,2631,15267,309,300,292,0
1184,768,3553,298894,2724,15675,197,253,476,0
1184.5,659,3074,269359,2668,15423,215,324,224,0
1185,540,3049,270383,2593,16070,211,314,577,0
1185.5,600,2889,286608,2536,16035,249,360,440,0
1186,611,2974,301519,3008,16235,202,316,297,0
1186.5,756,3638,316425,2779,16493,249,286,274,0
1187,745,3245,323387,2840,16591,330,286,334,7
1187.5,829,3367,340949,2903,15622,278,312,537,0
1188,799,3480,344405,2895,16046,307,320,436,0
1188.5,816,3216,340263,2691,14751,160,350,484,0
1189,655,2870,304042,2646,15549,233,271,228,0
1189.5,732,3291,300754,2766,15547,203,254,401,0
1190,697,2849,301650,2522,14965,195,303,361,0
1190.5,685,2680,305201,2523,14821,214,304,342,0
1191,618,2734,299084,2521,16272,341,326,294,0
1191.5,780,3035,326549,2528,16861,242,277,379,0
1192,730,3080,310967,2783,15688,163,312,454,0
1192.5,731,3219,311122,2799,15173,224,413,395,0
1193,768,3459,332910,2637,15145,260,269,347,0
1193.5,682,3208,316752,2985,16803,193,327,278,0
1194,662,3147,314429,2837,16725,310,270,356,0
1194.5,741,3312,327925,2675,15812,288,278,458,0
1195,692,2885,315754,2889,15500,186,317,489,0
1195.5,695,2965,320172,2811,17569,302,293,269,0
1196,705,3089,311336,3034,16328,172,275,292,0
1196.5,611,2830,306184,3075,15520,148,256,338,0
1197,677,3037,302251,2756,15122,160,282,300,0
1197.5,646,2919,301141,2599,15681,284,338,489,0
1198,700,2949,333125,2625,15197,268,290,521,0
1198.5,658,3130,302957,3057,15048,248,277,260,0
1199,669,3052,300777,2621,16224,200,315,389,0
1199.5,715,3011,325372,2521,14638,145,346,334,0
1200,714,3127,314590,2531,15529,225,314,331,0
1200.5,723,3071,324309,2937,17149,239,250,366,0
1201,715,3444,312590,3151,16253,216,275,298,0
1201.5,678,3312,330366,2958,16164,295,294,354,0
1202,724,3204,336831,2779,14240,262,297,390,0
1202.5,657,3285,328966,2509,15194,204,403,329,0
1203,752,3123,326961,2616,15429,179,267,459,0
1203.5,589,2987,290800,2577,17148,95,311,546,0
1204,578,2637,272933,2183,17407,247,322,430,0
1204.5,510,2503,262709,2744,17845,248,262,298,0
1205,644,3108,288465,2535,16973,246,290,450,0
1205.5,621,3230,289728,2700,17330,366,284,274,0
1206,579,3696,295538,2677,17882,194,244,330,0
1206.5,671,3543,308008,2901,16883,294,297,343,0
1207,719,3510,312017,2750,19394,364,178,476,0
1207.5,654,3541,309478,3404,18511,249,328,461,0
1208,640,3287,299450,2841,18078,234,258,495,0
1208.5,661,3341,311324,2679,18941,297,290,449,0
1209,735,3275,310023,2905,18324,227,391,388,0
1209.5,681,3583,305334,2896,19060,329,295,277,0
1210,725,3320,307642,2922,21016,282,363,310,0
1210.5,756,3293,310108,3154,18504,229,318,329,0
1211,635,2982,296543,2688,19758,277,341,249,0
1211.5,662,3294,304317,2655,18750,196,319,343,0
1212,679,3510,323606,2864,22121,198,211,286,0
1212.5,760,3721,331298,2840,20423,352,263,362,0
1213,712,3724,326855,2847,18511,320,282,393,7
1213.5,594,3568,313060,2513,17709,260,373,322,0
1214,673,2991,313876,2399,16712,339,299,132,0
1214.5,596,3053,322095,2786,16608,231,297,399,0
1215,641,3024,329080,2795,19086,269,272,430,0
1215.5,697,2969,320774,2510,18575,187,302,294,0
1216,591,3265,306662,2833,20146,267,294,358,0
1216.5,651,3053,317037,2243,19734,236,384,247,0
1217,700,3403,321685,2328,20644,255,283,261,0
1217.5,695,3919,334117,3044,19858,177,337,342,0
1218,759,3692,345456,3310,18177,245,362,399,0
1218.5,626,3228,322406,2980,20390,271,272,268,0
1219,543,3001,294386,2951,18393,173,282,403,0
1219.5,584,2596,273170,2369,16664,149,293,393,0
1220,607,3056,309267,2380,17956,298,360,403,0
1220.5,689,3067,332219,3290,17353,175,303,504,0
1221,740,3412,316821,2782,16697,295,289,364,0
1221.5,721,3097,309914,2750,17878,264,293,202,0
1222,738,3164,312174,2739,18875,222,312,462,0
1222.5,672,3429,309292,3063,24375,295,312,428,51
1223,666,2934,323085,2682,19051,197,318,515,0
1223.5,672,3054,320794,2253,18002,224,341,448,4
1224,696,3209,319800,2765,17626,278,276,365,0
1224.5,644,2849,305917,2525,16849,221,310,283,0
1225,769,3518,325852,2932,19834,287,373,199,0
1225.5,802,4023,350907,2377,18007,306,333,311,0
1226,723,3817,341284,2477,18002,264,305,360,0
1226.5,626,3113,320754,2385,21613,226,325,311,0
1227,704,2923,317268,2222,20807,225,346,375,0
1227.5,733,3311,320944,2930,19427,310,270,383,0
1228,747,3076,337706,2959,19288,258,305,284,0
1228.5,765,3328,341368,2570,20107,244,338,338,0
1229,637,3459,330470,2578,19177,211,301,473,0
1229.5,674,2841,297187,2578,18600,184,330,400,0
1230,741,3061,307591,2478,18759,344,326,249,0
1230.5,804,3275,314152,2469,18766,263,319,493,0
1231,728,3205,289926,2409,20218,252,266,367,0
1231.5,727,3426,277695,2411,20232,234,315,344,0
1232,625,2948,264594,2574,20922,252,275,176,0
1232.5,644,3334,258199,2447,19555,296,345,374,0
1233,557,3227,259352,2642,21831,268,363,202,0
1233.5,719,3138,265661,3121,21846,237,240,412,0
1234,674,3264,257652,2501,22282,286,309,365,0
1235,707,3544,272893,3056,21138,188,377,176,0
1235.5,718,3590,284022,2749,21059,259,232,437,0
1236,735,3285,276121,2697,19776,111,361,307,0
1236.5,630,2983,249636,2423,21102,230,320,270,10
1237,531,2866,250135,2473,20148,398,280,351,0
1237.5,691,3070,272283,2670,19426,223,337,273,0
1238,631,3044,271667,2369,18593,217,360,500,0
1238.5,672,3420,268320,2914,21274,267,381,492,0
1239,622,3462,271152,3104,21821,195,423,198,0
1239.5,656,3587,268943,3259,22352,260,314,240,0
1240,646,3262,269563,3009,23823,273,336,300,0
1240.5,664,3686,249132,3131,25395,435,328,314,0
1241,687,3422,270445,2907,25000,352,361,255,11
1241.5,658,3181,265684,2891,22405,253,307,149,0
1242,615,3411,247184,3356,22025,297,350,243,11
1242.5,636,3603,249914,2991,23093,276,350,447,0
1243,740,3751,270817,2795,21841,196,308,352,5
1243.5,788,3635,277797,3050,20773,254,366,312,0
1244,830,3287,264663,2721,21159,225,272,252,0
1244.5,706,3241,266206,2904,21147,245,363,158,0
1245,630,3259,265004,2899,22013,382,307,534,0
1245.5,725,3134,282417,2559,21364,320,315,356,0
1246,657,3070,273789,2657,23413,295,345,418,0
1246.5,732,3123,280191,3102,22427,372,316,487,28
1247,742,3456,258146,2810,18939,368,326,182,29
1247.5,631,3285,268870,2737,19045,268,333,451,8
1248,637,3067,271728,2419,21031,259,294,400,0
1248.5,718,3156,264477,2630,24269,324,283,225,0
1249,726,3456,289520,2786,20591,219,276,219,0
1249.5,820,3506,280567,3296,21065,224,258,512,0
1250,702,3278,278101,2721,22346,272,338,438,0
1250.5,669,3474,273068,2528,20771,232,275,174,0
1251,588,3320,260856,2647,19085,228,327,263,0
1251.5,624,2945,260910,2287,19280,289,353,232,0
1252,581,3024,267839,2657,18923,256,274,217,0
1252.5,662,3088,258761,2547,19338,250,302,349,0
1253,708,3143,259117,2722,20138,241,368,329,0
1253.5,705,3368,257502,2850,20971,321,317,279,0
1254,775,3521,263626,2543,20154,257,308,281,0
1254.5,679,3442,268498,2533,19655,275,309,250,0
1255,651,3347,263331,2530,19511,261,302,303,23
1255.5,708,3265,249089,2606,18130,248,304,329,0
1256,622,3188,241006,2683,18367,298,309,233,0
1256.5,660,2925,263974,3157,19719,178,279,292,0
1257,769,2994,267699,2866,18453,339,257,345,0
1257.5,673,3030,247485,2376,18591,318,334,286,0
1258,756,3161,269633,2820,17889,312,279,387,6
1258.5,735,3143,284013,2563,17301,253,245,307,0
1259,726,3115,259253,2422,17253,246,325,300,0
1259.5,594,3250,254974,2297,18196,283,331,388,0
1260,819,3468,268781,2532,17879,345,300,317,0
1260.5,848,3340,276272,2656,17171,192,312,254,0
1261,760,3330,269566,2736,19100,300,354,321,0
1261.5,726,3284,256447,3253,19586,213,334,222,0
1262,725,3192,256757,2900,19384,312,297,327,0
1262.5,661,3276,257837,2803,20754,232,243,400,0
1263,682,3188,248531,2813,18973,230,293,412,0
1263.5,620,3049,264589,3044,18872,191,388,473,0
1264,610,3159,261662,2536,19445,269,330,331,0
1264.5,843,3350,275125,2811,18251,219,254,239,0
1265,720,3187,261389,2776,18677,281,329,197,0
1265.5,630,3017,267259,2505,18004,221,308,186,0
1266,646,3378,259534,2624,18924,236,254,211,29
1266.5,683,3263,259792,2619,18754,280,324,218,0
1267,690,3004,256389,2352,19006,256,308,283,0
1267.5,672,2859,247646,2640,18636,314,302,383,0
1268,829,3512,264344,2668,19391,258,311,31,0
1268.5,674,3405,248709,3051,24677,217,301,306,5
1269,690,3323,244083,3152,25990,377,316,368,31
1269.5,637,3524,252073,3165,24447,395,259,306,0
1270,696,3237,262612,2766,25532,323,357,132,0
1270.5,587,3197,241466,2676,29875,273,384,326,7
1271,589,3345,247811,2600,26449,313,355,358,0
1271.5,565,3106,246649,3278,27272,399,340,347,0
1272,638,3490,249686,2748,23094,241,309,352,0
1272.5,540,3189,252986,2981,25581,253,332,331,0
1273,676,3044,243870,3410,25502,349,321,207,31
1273.5,539,3037,226855,2670,25498,374,304,251,0
1274,608,3423,241804,2760,25943,297,309,403,25
1274.5,589,3499,253590,2869,24919,323,312,163,0
1275,662,3111,245970,2738,26085,386,267,221,0
1275.5,544,2803,236369,2668,26662,268,295,378,0
1276,508,3209,244220,2715,25707,259,309,332,0
1276.5,648,2942,243541,2694,27223,421,338,256,45
1277,750,3011,251213,2662,27204,264,340,302,127
1277.5,697,3434,261568,2596,24313,286,313,353,0
1278,615,3278,239410,3235,24909,262,335,446,0
1278.5,650,2948,246104,3079,25252,342,257,412,40
1279,745,3216,251157,2702,25040,331,339,198,0
1279.5,663,3225,256437,2781,23939,312,322,403,23
1280,643,2810,253621,3047,22700,267,354,314,0
1280.5,688,3070,251244,2584,22921,304,334,306,0
1281,740,3143,252338,2842,23148,321,271,340,0
1281.5,683,3025,253145,2533,25181,247,314,277,30
1282,686,3431,244868,2787,22847,202,330,347,0
1282.5,712,3638,254094,3127,21049,324,357,394,40
1283,689,3455,255201,3096,21435,283,322,363,0
1283.5,724,3543,271264,3247,20467,304,344,231,0
1284,675,3242,254666,2971,20520,303,310,596,0
1284.5,707,3506,252351,2971,19564,303,334,227,0
1285,696,3192,256026,2976,19862,183,287,285,0
1285.5,678,3435,264561,2655,21974,223,409,418,0
1286,655,3156,269255,2583,20447,342,259,282,0
1286.5,769,3437,277855,2880,20393,282,325,293,0
1287,775,3239,282772,2701,19891,242,321,288,0
1287.5,652,3196,264083,2633,21059,221,265,481,0
1288,696,3036,276735,2618,23270,277,361,308,0
1288.5,871,3773,292006,2724,23919,295,315,244,29
1289,935,3749,283006,3514,22001,259,289,276,0
1289.5,707,3064,242037,2859,22455,296,349,307,0
1290,536,2674,226931,2277,26854,364,370,370,0
1290.5,680,2803,233161,2902,23611,280,324,404,27
1291,618,2989,235793,2496,23718,312,245,98,31
1291.5,617,3139,232153,2695,24595,253,326,299,33
1292,689,3495,230661,2645,23392,263,341,299,0
1292.5,667,3114,232729,2737,25076,517,268,241,0
1293,645,3019,238480,3042,24832,314,307,339,25
1293.5,596,2885,232374,2704,24236,322,253,303,0
1294,563,2873,226228,2527,24177,269,330,264,0
1294.5,611,2953,221542,2586,24059,212,340,309,0
1295,648,3018,223160,2420,25572,230,333,21,11
1295.5,643,3085,239743,2958,27963,286,350,81,0
1296,623,3084,230823,2460,27897,324,299,145,31
1296.5,684,3118,221396,2724,27200,283,367,141,0
1297,691,2915,219420,2799,26971,356,363,247,0
1297.5,640,3065,212274,2591,29168,233,335,340,47
1298,623,3117,208281,2611,27992,426,319,216,0
1298.5,660,3594,215223,3065,28510,436,326,175,49
1299,631,2976,204385,2682,29420,442,255,203,0
1299.5,637,2852,200634,2807,31759,328,348,370,66
1300,719,2959,183612,3421,31601,335,322,235,30
1300.5,646,2859,170476,2605,30948,386,328,125,0
1301,613,3132,174090,2926,26331,208,356,313,0
1301.5,588,2843,179267,2630,26313,348,380,234,0
1302,659,3077,187409,2768,28607,398,254,232,0
1302.5,701,3278,189587,2792,32693,288,285,321,0
1303,634,2791,178940,2977,28533,385,305,227,48
1303.5,534,2966,181576,2441,31040,372,325,348,37
1304,593,2969,186291,2410,31541,412,254,117,121
1304.5,723,2940,199357,2589,30558,422,324,268,12
1305,597,3488,191520,2802,36748,496,293,213,0
1305.5,695,3286,188790,2659,34768,432,317,289,23
1306,675,3059,183453,2745,31534,279,391,49,49
1306.5,642,3071,183032,2681,31548,455,325,400,0
1307,758,3295,188026,2983,32012,473,268,193,0
1307.5,665,2877,159269,2615,33045,453,382,328,76
1308,711,3245,154189,3207,36236,332,398,329,76
1308.5,594,2857,139933,3209,37653,433,385,261,24
1309,540,3021,148536,2665,38095,494,353,300,16
1309.5,616,3201,145936,2858,34505,428,305,109,6
1310,688,3516,152929,3343,32443,426,298,347,15
1310.5,607,3663,157340,3376,28442,390,354,253,0
1311,680,3253,158073,3295,28629,371,287,289,76
1311.5,676,3149,148755,3077,35126,401,365,334,21
1312,830,3374,151213,2925,36677,396,411,379,99
1312.5,788,3468,149108,3145,31770,415,351,127,31
1313,625,2919,140442,3520,32027,339,337,278,119
1313.5,735,3070,141285,3153,32631,416,333,187,90
1314,673,3215,141945,2738,31486,404,393,312,21
1314.5,786,3076,140248,2909,28466,344,325,144,18
1315,680,3311,134432,2830,25886,301,356,276,56
1315.5,686,3156,141596,3073,31966,411,393,146,118
1316,613,2772,129495,2873,29333,418,328,219,0
1316.5,637,3274,136042,3034,28322,384,432,294,49
1317,667,3232,140243,2954,31799,334,377,308,58
1317.5,684,3274,143158,2784,30133,422,299,326,55
1318,658,3315,134798,2949,30604,381,449,404,58
1318.5,798,3655,142713,3702,29941,375,349,223,57
1319,707,3609,141889,3801,30499,355,422,268,49
1319.5,697,3452,139477,3132,30886,398,355,135,9
1320,730,3723,127082,2999,33411,467,304,234,24
1320.5,801,3917,118270,3812,29900,406,366,187,34
1321,659,3501,97951,3634,26265,420,422,191,0
1321.5,522,3265,98824,3277,25137,387,450,228,0
1322,620,3425,99917,3026,24905,385,340,261,0
1322.5,704,3796,106180,3160,23203,286,343,281,37
1323,650,3803,123153,2986,22704,327,373,186,9
1323.5,748,3958,129165,3232,21179,220,428,118,11
1324,738,3869,127093,3331,20030,341,401,280,30
1324.5,601,3669,128753,3346,20094,262,402,216,0
1325,660,3888,133963,3698,20232,346,299,126,0
1325.5,578,4145,138501,3592,20789,243,363,192,0
1326,636,4056,146761,3657,21950,285,446,176,29
1326.5,737,4329,147144,3832,19665,311,364,319,0
1327,654,3901,154122,3434,20505,296,317,254,0
1327.5,655,3542,161686,3220,19634,279,290,289,37
1328,698,3965,167435,3320,19067,267,367,310,0
1328.5,732,4058,169176,3050,19753,272,328,203,0
1329,660,3969,185031,3262,19624,275,381,283,0
1329.5,640,4062,190045,2932,19770,353,350,102,0
1330,632,3678,180950,3085,19753,291,370,81,0
1330.5,561,3510,169526,2978,19056,365,340,179,0
1331,658,3917,190971,3400,18730,239,388,204,10
1331.5,601,3315,198858,2826,18378,275,287,185,0
1332,561,3600,220048,2870,18687,275,338,380,0
1332.5,534,3402,209074,3004,18634,205,305,248,0
1333,504,3796,204937,2789,17848,305,359,288,14
1333.5,500,3543,213556,2835,17885,149,291,263,0
1334,611,3966,231044,3454,19252,229,366,295,0
1334.5,651,4386,238838,3303,19376,316,311,391,12
1335,580,4046,231894,3263,19244,420,389,296,0
1335.5,631,4165,240696,3029,19570,299,252,255,0
1336,661,3983,254922,3005,19031,339,312,360,0
1336.5,708,4623,269577,3328,19397,208,297,333,0
1337,475,3807,257173,3359,18600,266,378,387,0
1337.5,526,3650,265897,3127,19379,264,283,131,0
1338,560,3952,269188,3090,20135,228,300,236,0
1338.5,509,4318,270395,3443,21112,280,265,337,0
1339,575,4007,281076,3200,20444,244,287,265,0
1339.5,623,3791,254359,3002,20392,265,322,179,0
1340,567,4079,253594,3076,20925,335,312,329,0
1340.5,572,3967,258434,2963,19885,261,271,337,0
1341,588,3625,247084,3271,19964,345,308,300,0
1341.5,526,3763,247856,3290,19759,319,347,324,0
1342,638,3784,254542,3201,19743,251,379,278,0
1342.5,610,3730,251240,2883,19956,251,314,85,0
1343,603,3812,261876,3356,18919,235,301,129,0
1343.5,496,3787,254803,3106,18248,269,373,382,0
1344,442,3589,249126,2889,19164,152,301,240,0
1344.5,597,4032,272872,4022,21012,237,308,361,0
1345,666,3919,282417,3451,19224,224,321,334,28
1345.5,613,3768,269259,2994,19694,263,356,255,0
1346,595,3597,260610,3113,19613,234,334,236,0
1346.5,546,3936,277036,3111,19330,241,332,339,0
1347,612,4073,276123,3180,20341,294,373,240,0
1347.5,626,4105,275343,3061,20735,249,322,245,0
1348,590,3929,264213,3277,20652,351,387,345,0
1348.5,639,3957,277281,2822,22029,300,248,311,0
1349,617,4162,285726,3627,21356,243,292,261,0
1349.5,570,3968,268715,3359,22128,347,313,328,0
1350,614,3664,263020,2932,21285,257,355,185,0
1350.5,625,3925,266228,2891,22081,337,304,290,0
1351,660,4106,281326,3609,22016,216,267,296,0
1351.5,660,4038,270497,3175,22859,325,294,300,0
1352,588,4354,266701,3374,23430,267,299,205,0
1352.5,401,3835,266473,3068,22571,154,317,396,0
1353,558,4016,264702,3593,22238,218,330,358,0
1353.5,692,3694,260241,3022,22552,463,355,424,0
1354,672,3664,258528,2734,22179,355,329,441,0
1354.5,575,4306,262815,3472,23369,406,252,353,0
1355,609,3767,247919,3032,24707,313,288,256,0
1355.5,455,3437,241938,2882,24282,158,272,211,0
1356,513,3759,262202,3116,24322,388,289,217,0
1356.5,641,3757,269330,3263,23234,238,281,407,0
1357,520,3862,255112,3023,24103,328,257,151,0
1357.5,572,3757,251172,3202,24128,308,291,284,0
1358,662,4307,267657,3181,24335,327,251,328,0
1358.5,614,4178,269124,3047,24750,132,332,450,0
1359,611,4413,269782,3424,23737,296,378,290,0
1359.5,608,4236,266080,3002,24593,227,286,386,4
1360,576,4087,264570,2788,22105,337,313,253,0
1360.5,548,4042,275498,2948,22724,296,268,364,0
1361,592,3949,279787,2987,22966,253,291,192,0
1361.5,696,4068,279624,3186,23520,299,305,204,0
1362,597,3838,259317,3231,22970,272,327,288,0
1362.5,562,3812,252889,3041,24150,273,356,128,8
1363,584,3812,268211,3107,24491,255,283,293,0
1363.5,730,3996,277293,2906,24504,260,264,349,0
1364,603,3719,254996,2927,23594,291,314,287,0
1364.5,618,3628,251177,2983,22812,224,258,320,0
1365,773,4156,285875,3151,23264,341,300,537,0
1365.5,708,4380,280324,3380,24036,269,264,277,0
1366,699,4022,277764,3307,23359,366,249,285,0
1366.5,578,3861,273416,3033,24549,306,321,239,0
